event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,participant_id
key pressed,"k",1559749533.332607,"quick",1.6858739852905273,"Syliva wagt quick",6.437680006027222,"Syliva wagt quick",6.437680006027222,1,none,2
key pressed,"SPACE",1559749533.813819,"quick",2.167085886001587,"Syliva wagt quick ",6.918891906738281,"Syliva wagt quick ",6.918891906738281,1,none,2
word typed,"SPACE",1559749533.813819,"quick",2.167085886001587,"Syliva wagt quick ",6.918891906738281,"Syliva wagt quick ",6.918891906738281,1,False,2
key pressed,"d",1559749534.428836,"d",0.0,"Syliva wagt quick d",7.53390908241272,"Syliva wagt quick d",7.53390908241272,1,none,2
key pressed,"e",1559749534.6115892,"de",0.1827530860900879,"Syliva wagt quick de",7.716662168502808,"Syliva wagt quick de",7.716662168502808,1,none,2
key pressed,"n",1559749534.744679,"den",0.315842866897583,"Syliva wagt quick den",7.849751949310303,"Syliva wagt quick den",7.849751949310303,1,none,2
key pressed,"SPACE",1559749534.952575,"den",0.5237388610839844,"Syliva wagt quick den ",8.057647943496704,"Syliva wagt quick den ",8.057647943496704,1,none,2
word typed,"SPACE",1559749534.952575,"den",0.5237388610839844,"Syliva wagt quick den ",8.057647943496704,"Syliva wagt quick den ",8.057647943496704,1,False,2
key pressed,"J",1559749535.551879,"J",0.0,"Syliva wagt quick den J",8.656951904296875,"Syliva wagt quick den J",8.656951904296875,1,none,2
key pressed,"u",1559749535.7790642,"Ju",0.22718524932861328,"Syliva wagt quick den Ju",8.884137153625488,"Syliva wagt quick den Ju",8.884137153625488,1,none,2
key pressed,"x",1559749536.677762,"Jux",1.1258831024169922,"Syliva wagt quick den Jux",9.782835006713867,"Syliva wagt quick den Jux",9.782835006713867,1,none,2
key pressed,"SPACE",1559749536.809626,"Jux",1.2577471733093262,"Syliva wagt quick den Jux ",9.914699077606201,"Syliva wagt quick den Jux ",9.914699077606201,1,none,2
word typed,"SPACE",1559749536.809626,"Jux",1.2577471733093262,"Syliva wagt quick den Jux ",9.914699077606201,"Syliva wagt quick den Jux ",9.914699077606201,1,False,2
key pressed,"b",1559749537.607282,"b",0.0,"Syliva wagt quick den Jux b",10.712354898452759,"Syliva wagt quick den Jux b",10.712354898452759,1,none,2
key pressed,"e",1559749537.75877,"be",0.1514880657196045,"Syliva wagt quick den Jux be",10.863842964172363,"Syliva wagt quick den Jux be",10.863842964172363,1,none,2
key pressed,"i",1559749537.886732,"bei",0.2794501781463623,"Syliva wagt quick den Jux bei",10.991805076599121,"Syliva wagt quick den Jux bei",10.991805076599121,1,none,2
key pressed,"SPACE",1559749538.09795,"bei",0.49066805839538574,"Syliva wagt quick den Jux bei ",11.203022956848145,"Syliva wagt quick den Jux bei ",11.203022956848145,1,none,2
word typed,"SPACE",1559749538.09795,"bei",0.49066805839538574,"Syliva wagt quick den Jux bei ",11.203022956848145,"Syliva wagt quick den Jux bei ",11.203022956848145,1,False,2
key pressed,"P",1559749539.587447,"P",0.0,"Syliva wagt quick den Jux bei P",12.692519903182983,"Syliva wagt quick den Jux bei P",12.692519903182983,1,none,2
key pressed,"f",1559749539.950697,"Pf",0.3632500171661377,"Syliva wagt quick den Jux bei Pf",13.055769920349121,"Syliva wagt quick den Jux bei Pf",13.055769920349121,1,none,2
key pressed,"o",1559749540.279789,"Pfo",0.6923420429229736,"Syliva wagt quick den Jux bei Pfo",13.384861946105957,"Syliva wagt quick den Jux bei Pfo",13.384861946105957,1,none,2
key pressed,"r",1559749540.501569,"Pfor",0.9141221046447754,"Syliva wagt quick den Jux bei Pfor",13.606642007827759,"Syliva wagt quick den Jux bei Pfor",13.606642007827759,1,none,2
key pressed,"t",1559749540.716762,"Pfort",1.1293151378631592,"Syliva wagt quick den Jux bei Pfort",13.821835041046143,"Syliva wagt quick den Jux bei Pfort",13.821835041046143,1,none,2
key pressed,"r",1559749543.526895,"Pfor",3.939448118209839,"Syliva wagt quick den Jux bei Pfor",16.631968021392822,"Syliva wagt quick den Jux bei Pfor",16.631968021392822,1,none,2
key pressed,"t",1559749544.654716,"Pfort",5.0672690868377686,"Syliva wagt quick den Jux bei Pfort",17.759788990020752,"Syliva wagt quick den Jux bei Pfort",17.759788990020752,1,none,2
key pressed,"z",1559749544.839846,"Pfortz",5.25239896774292,"Syliva wagt quick den Jux bei Pfortz",17.944918870925903,"Syliva wagt quick den Jux bei Pfortz",17.944918870925903,1,none,2
key pressed,"h",1559749545.240741,"Pfortzh",5.653294086456299,"Syliva wagt quick den Jux bei Pfortzh",18.345813989639282,"Syliva wagt quick den Jux bei Pfortzh",18.345813989639282,1,none,2
key pressed,"e",1559749545.403573,"Pfortzhe",5.816126108169556,"Syliva wagt quick den Jux bei Pfortzhe",18.50864601135254,"Syliva wagt quick den Jux bei Pfortzhe",18.50864601135254,1,none,2
key pressed,"i",1559749545.53776,"Pfortzhei",5.950313091278076,"Syliva wagt quick den Jux bei Pfortzhei",18.64283299446106,"Syliva wagt quick den Jux bei Pfortzhei",18.64283299446106,1,none,2
key pressed,"m",1559749545.7547672,"Pfortzheim",6.167320251464844,"Syliva wagt quick den Jux bei Pfortzheim",18.859840154647827,"Syliva wagt quick den Jux bei Pfortzheim",18.859840154647827,1,none,2
key pressed,".",1559749546.7066612,"Pfortzheim.",7.119214296340942,"Syliva wagt quick den Jux bei Pfortzheim.",19.811734199523926,"Syliva wagt quick den Jux bei Pfortzheim.",19.811734199523926,1,none,2
key pressed,"ENTER",1559749547.069637,"Pfortzheim.",7.482190132141113,"Syliva wagt quick den Jux bei Pfortzheim.
",20.174710035324097,"Syliva wagt quick den Jux bei Pfortzheim.
",20.174710035324097,1,none,2
word typed,"ENTER",1559749547.069637,"Pfortzheim.",7.482190132141113,"Syliva wagt quick den Jux bei Pfortzheim.
",20.174710035324097,"Syliva wagt quick den Jux bei Pfortzheim.
",20.174710035324097,1,False,2
sentence typed,"ENTER",1559749547.069637,"Pfortzheim.",7.482190132141113,"Syliva wagt quick den Jux bei Pfortzheim.
",20.174710035324097,"Syliva wagt quick den Jux bei Pfortzheim.
",20.174710035324097,1,none,2
key pressed,"J",1559749548.215046,"J",0.0,"J",0.0,"Syliva wagt quick den Jux bei Pfortzheim.J",21.32011890411377,2,none,2
key pressed,"e",1559749548.4993632,"Je",0.2843172550201416,"Je",0.2843172550201416,"Syliva wagt quick den Jux bei Pfortzheim.Je",21.60443615913391,2,none,2
key pressed,"d",1559749548.7405581,"Jed",0.5255122184753418,"Jed",0.5255122184753418,"Syliva wagt quick den Jux bei Pfortzheim.Jed",21.84563112258911,2,none,2
key pressed,"e",1559749548.948428,"Jede",0.733381986618042,"Jede",0.733381986618042,"Syliva wagt quick den Jux bei Pfortzheim.Jede",22.05350089073181,2,none,2
key pressed,"r",1559749549.0443451,"Jeder",0.8292992115020752,"Jeder",0.8292992115020752,"Syliva wagt quick den Jux bei Pfortzheim.Jeder",22.149418115615845,2,none,2
key pressed,"SPACE",1559749549.1975338,"Jeder",0.9824879169464111,"Jeder ",0.9824879169464111,"Syliva wagt quick den Jux bei Pfortzheim.Jeder ",22.30260682106018,2,none,2
word typed,"SPACE",1559749549.1975338,"Jeder",0.9824879169464111,"Jeder ",0.9824879169464111,"Syliva wagt quick den Jux bei Pfortzheim.Jeder ",22.30260682106018,2,False,2
key pressed,"w",1559749549.837523,"w",0.0,"Jeder w",1.6224770545959473,"Syliva wagt quick den Jux bei Pfortzheim.Jeder w",22.942595958709717,2,none,2
key pressed,"a",1559749550.181461,"wa",0.34393811225891113,"Jeder wa",1.9664151668548584,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wa",23.286534070968628,2,none,2
key pressed,"c",1559749550.6305091,"wac",0.7929861545562744,"Jeder wac",2.4154632091522217,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wac",23.73558211326599,2,none,2
