event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,autocompletion,participant_id
key pressed,z,1559750241.55188,Pforz,0.9200658798217773,Sylvia wagt quick den Jux bei Pforz,7.384371995925903,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforz,20.528892993927002,2,none,False,3
key pressed,h,1559750241.759323,Pforzh,1.1275088787078857,Sylvia wagt quick den Jux bei Pforzh,7.591814994812012,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzh,20.73633599281311,2,none,False,3
key pressed,i,1559750241.999789,Pforzhi,1.3679749965667725,Sylvia wagt quick den Jux bei Pforzhi,7.832281112670898,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzhi,20.976802110671997,2,none,False,3
key pressed,h,1559750242.399885,Pforzh,1.768070936203003,Sylvia wagt quick den Jux bei Pforzh,8.232377052307129,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzh,21.376898050308228,2,none,False,3
key pressed,e,1559750242.543906,Pforzhe,1.9120919704437256,Sylvia wagt quick den Jux bei Pforzhe,8.376398086547852,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzhe,21.52091908454895,2,none,False,3
key pressed,i,1559750242.711937,Pforzhei,2.080122947692871,Sylvia wagt quick den Jux bei Pforzhei,8.544429063796997,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzhei,21.688950061798096,2,none,False,3
key pressed,m,1559750242.960052,Pforzheim,2.328238010406494,Sylvia wagt quick den Jux bei Pforzheim,8.79254412651062,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim,21.93706512451172,2,none,False,3
key pressed,.,1559750243.583346,Pforzheim.,2.9515318870544434,Sylvia wagt quick den Jux bei Pforzheim.,9.41583800315857,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.,22.560359001159668,2,none,False,3
key pressed,ENTER,1559750243.768457,Pforzheim.,3.1366429328918457,"Sylvia wagt quick den Jux bei Pforzheim.
",9.600949048995972,"Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.
",22.74547004699707,2,none,False,3
word typed,ENTER,1559750243.768457,Pforzheim.,3.1366429328918457,"Sylvia wagt quick den Jux bei Pforzheim.
",9.600949048995972,"Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.
",22.74547004699707,2,False,False,3
sentence typed,ENTER,1559750243.768457,Pforzheim.,3.1366429328918457,"Sylvia wagt quick den Jux bei Pforzheim.
",9.600949048995972,"Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.
",22.74547004699707,2,none,False,3
key pressed,P,1559750244.727384,P,0.0,P,0.0,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.P,23.704397201538086,3,none,False,3
key pressed,r,1559750244.880037,Pr,0.15265297889709473,Pr,0.15265297889709473,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.Pr,23.85705018043518,3,none,False,3
key pressed,a,1559750244.999972,Pra,0.27258801460266113,Pra,0.27258801460266113,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.Pra,23.976985216140747,3,none,False,3
key pressed,l,1559750245.104012,Pral,0.37662792205810547,Pral,0.37662792205810547,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.Pral,24.08102512359619,3,none,False,3
key pressed,l,1559750245.280041,Prall,0.552656888961792,Prall,0.552656888961792,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.Prall,24.257054090499878,3,none,False,3
key pressed,SPACE,1559750245.4479418,Prall,0.720557689666748,Prall ,0.720557689666748,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.Prall ,24.424954891204834,3,none,False,3
word typed,SPACE,1559750245.4479418,Prall,0.720557689666748,Prall ,0.720557689666748,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.Prall ,24.424954891204834,3,False,False,3
key pressed,v,1559750245.559833,v,0.0,Prall v,0.8324489593505859,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.Prall v,24.536846160888672,3,none,False,3
key pressed,o,1559750245.727926,vo,0.16809296607971191,Prall vo,1.0005419254302979,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pforzheim.Prall vo,24.704939126968384,3,none,False,3
